"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.571692375E0,9.632302099E-4,8.752858266E-4,1.353749074E-3,1.877917536E-3
2.581741375E0,1.355247572E-3,-3.862534650E-4,1.937513938E-3,2.395797984E-3
2.591790375E0,-5.351121072E-4,-1.489842311E-3,-5.050111213E-4,1.661629113E-3
2.601839375E0,-2.773498883E-3,1.638572663E-3,1.047345460E-3,3.387351317E-3
2.611888375E0,-1.822139136E-3,7.211402990E-4,-2.782176307E-4,1.979302759E-3
2.621937375E0,4.226393066E-4,1.430606470E-3,1.662427792E-3,2.233590164E-3
2.631986375E0,-2.778288617E-4,-1.547700725E-3,-1.676231972E-3,2.298329836E-3
2.642035375E0,-3.854206007E-4,-1.966790296E-4,-7.540587103E-5,4.392240038E-4
2.652084375E0,1.568292500E-4,-1.697049942E-3,5.135067040E-4,1.779961532E-3
2.662133375E0,-5.843284307E-4,-1.603040379E-3,9.284272091E-4,1.942461133E-3
2.672182375E0,-1.224482665E-3,2.324853558E-3,-1.454760786E-3,3.003436500E-3
2.682231375E0,-3.844500519E-3,-1.329536084E-3,8.920167456E-4,4.164558118E-3
2.692280375E0,-5.923127756E-4,3.499453887E-4,-3.344630240E-4,7.649586352E-4
2.702329375E0,-3.193388111E-4,-2.849008888E-5,1.284206286E-3,1.323621829E-3
2.712378375E0,1.554788789E-3,-6.416551769E-4,-1.501344377E-4,1.688676965E-3
2.722427375E0,2.087421017E-3,-3.264869098E-3,-7.445520023E-4,3.946017538E-3
2.732476375E0,9.484470938E-4,2.257553861E-4,-1.740348293E-3,1.994825697E-3
2.742525375E0,-3.423870658E-4,2.388775349E-3,2.021100372E-3,3.147748923E-3
2.752574375E0,2.418537624E-3,5.614110269E-4,-1.554642222E-4,2.487704907E-3
2.762623375E0,1.713865087E-3,-1.190949231E-3,-6.225826801E-4,2.177912487E-3
2.772672375E0,1.916305861E-3,1.890389714E-3,-8.200336015E-5,2.693051424E-3
2.782721375E0,1.125879586E-3,1.248567365E-3,2.817113884E-3,3.280648707E-3
2.792770375E0,3.193438984E-3,-3.480645828E-4,-5.119955167E-4,3.252897310E-3
2.802819375E0,-6.737370277E-4,-1.045546494E-3,-1.231315313E-3,1.750207546E-3
2.812868375E0,-4.376535071E-4,-1.552442554E-3,1.444331720E-3,2.165112605E-3
2.822917375E0,-1.983618597E-3,3.208247945E-4,-5.828664871E-4,2.092224803E-3
2.832966375E0,-2.937031095E-4,4.464043304E-4,-1.290490618E-3,1.396747786E-3
2.843014375E0,-4.574875347E-4,3.207032569E-4,1.482126419E-3,1.583933126E-3
2.853063375E0,9.159019683E-4,9.329649620E-4,-2.367850859E-3,2.704813806E-3
2.863112375E0,-8.798675262E-4,1.446422189E-3,6.279390655E-4,1.805716335E-3
2.873161375E0,8.845670382E-4,1.179710496E-3,6.238025962E-4,1.601032598E-3
2.883210375E0,1.281910692E-3,1.479582395E-3,6.070247036E-4,2.049619008E-3
2.893259375E0,-6.643825909E-4,-1.044441015E-4,6.275502383E-4,9.198543901E-4
2.903308375E0,7.803822518E-4,1.279067714E-3,-6.750018219E-4,1.643361839E-3
2.913357375E0,1.375950233E-4,-1.057154033E-3,-2.036881400E-3,2.298998234E-3
2.923406375E0,1.711256802E-3,1.140752807E-3,-1.204708242E-4,2.060152914E-3
2.933455375E0,6.374782533E-4,-1.780376770E-3,-8.065775619E-4,2.055890884E-3
2.943504375E0,2.625794150E-3,-4.466660321E-4,8.328643744E-4,2.790693199E-3
2.953553375E0,-8.880717796E-4,1.440381631E-3,-2.858838066E-3,3.322096600E-3
2.963602375E0,-4.289428471E-4,-1.623085700E-4,-5.745905219E-5,4.622094554E-4
2.973651375E0,-1.492550829E-3,-1.505226828E-4,4.120176891E-5,1.500687390E-3
2.983700375E0,1.940530026E-3,9.919730946E-4,1.656142762E-3,2.737238801E-3
2.993749375E0,4.951650044E-4,9.008026682E-4,-3.855718242E-4,1.097861312E-3
3.003798125E0,9.146128432E-4,-1.271776855E-4,-1.046083635E-4,9.293189583E-4
3.013847125E0,-2.164184814E-3,-1.102834940E-4,5.232930416E-4,2.229281043E-3
3.023896125E0,-1.535146264E-3,-2.447740175E-3,1.442083740E-3,3.229196731E-3
